Unnamed: 0,EJEMPLAR,Título,Autor,Editorial,Colección,Año,CATEGORÍA,EDAD (literatura),CDU
3225,1,"Banco, otro relato inédito de la vida de Papillon","Charriere, Henri",Emecé,,1926,,,
1537,1,Barbanegra y los buñuelos,"Wolf, Ema",Colihue,Libros del malabarista,1926,,,
2275,1,Barbie : let's dance,"[Gillian, Lisa]",-,Shimmery Foil,1926,,,
1099,1,Barcos de papel,"Yunque, Álvaro",Plus Ultra,Literatura juvenil,1926,,,
3304,1,Barrabás/El verdugo enano El enano,"Lagerkvist, Par",Orbis,Los Premios Nobel,1926,,,
3715,1,"Bartleby, el escribiente","Melville, Herman",Página 12,-,1926,,,
5481,1,Bartolomé Mitre,"Luna, Félix",Planeta,Grande protagonistas de la Historia Argentina,2004,Biografías,,
5604,1,Bases y puntos de partida para la organización política Argentina,"Alberdi, Juan Bautista",Libertador,,2005,Historia Argentina,,
729,1,Bases y puntos de prtida para la Organización Política de la República Argentina,"Alberdi, J.B.",Jackson,Grandes escritores Argentinos - 18,1926,,,
1033,1,Batiburillo : anecdotário popular pintoresco,"Iribarren, José M.",Gómez,Arga,1926,,,
5185,1,Belén y Michu. Libro 1,"Barrows, Annie",Catapulta,Belén y Michu - 1,2013,Lit. Infantil (Naranja),,
5186,1,Belén y Michu. Rompen el récord de fósiles,"Barrows, Annie",Catapulta,Belén y Michu - 3,2013,Lit. Infantil (Naranja),,
2340,1,Belgrano,"Pigna, Felipe",Planeta,La historieta argentina por Felipe Pigna,1926,,,
3118,2,Belgrano : sus batallas y su creación,-,Billiken,Biblioteca Billiken para la familia - 16,1926,,,
60,2,Belgrano hace bandera y le sale de primera,"Basch, Adela",Alfaguara,Naranja,2005,,,
4581,1,"Belgrano hace bandera, y le sale de primera","Basch, Adela",Loqueleo,Ficción Histórica,1926,,,
5513,1,Belgrano y la escuela nacional de náutica. Dos siglos de historia,"Vázquez Rivarola, Horacio Guillermo",Universidad de la Defensa Nacional,Homenaje / 1,2020,Historia Argentina,,
2291,1,Belisario y el violín,"Ramos, María Cristina",Alfaguara,Alfaguara infantil,1926,,,
2519,1,Benito Quinquela : el maestro del color,-,Aguilar,Protagonistas de la cultura argentina,1926,,,
2312,1,Ber - Hur. Una historia de los tiempos de Cristo,"Wallace, Lewis",Bruguera,,1926,,,
4663,1,Bernard Shaw. el hombre y su obra,"Bentley, Eric",Biografías Grandesa,,1926,,,
3716,1,Besos de seda,"Putney, Mary Jo",Cisne,,1926,,,
1647,5,Bestiario,"Roldán, Gustavo",Guadal,,1926,,,
1761,1,Betina la máquina del tiempo,"Montes, Graciela",Gramón,Los libros del árbol,1926,,,
1642,2,Biblioteca de selecciones,Antología,Reader`s Digest,Las obras contemporáneas de mayor éxito,1926,,,
1044,1,Biblioteca de selecciones : libros escogidos y condensados bajo la dirección del Reader's Digest,-,Reader's Digest,-,1926,,,
5332,1,Biblioteca personal. Prólogos,"Borges, Jorge Luis",Sudamericana,Borges Obras Completas - 15,2011,Lit. Argentina,,
3147,1,Bichos : su insólito mundo,-,Billiken,Biblioteca Billiken para la familia - 37,1926,,,
2097,1,Bichos : una aventura en miniatura,-,Jardín de Genios,Grandes clásicos de oro - 4,1926,,,
925,1,Bienvenidos a la casa de la muerte,"Stine, R. L",Norma,Escalofríos - 18,1926,,,
2790,1,Billiken : edición especial,-,Billiken,-,1926,,,
3169,1,Bioquímica. Las bases moleculares de la estructura y función celular,"Lehninger, Albert L.",Omega,,1926,,,
502,2,Bituín bituín Natacha,"Pescetti, Luis María",Alfaguara,Naranja,2012,,,
5251,1,Blade Runner. ¿Sueñan los androides con ovejas eléctricas?,"Dick, Philip K.",Edhasa,,2010,Lit. EEUU,,
2087,1,Blanca Nieves y los siete enanitos,-,Norma,Clásicos dorados,1926,,,
2060,3,Blancanieves,-,[Colibrí],[Clásicos de oro],1926,,,
2202,1,Bob : el esqueleto,"Blanco, Cecilia",La Valijita,Cuentos fantásticos de La Valijita - 6,1926,,,
4075,1,Boca de infierno,"Miranda, Ana",Altaya,Novela histórica,1926,,,
1794,1,Boca de Lobo,"[Negrín, Fabián]",[Thule],-,1926,,,
147,1,Boca de sapo,Canela,Sudamericana ,Pan flauta,2005,,,
308,3,Bodas de Sangre,"García Lorca, Federico",Cantaro,Del Mirador,1999,,,
3771,1,Bodas de sangre ; Los títeres de Cachiporra ; Retabillo de Don Cristóbal,"García Lorca, Federico",Losada,-,1926,,,
3756,1,Bodas de sangre y La casa de Bernarda Alba,"García Lorca, Federico",Norma,GOLU,1926,,,
4893,1,Bola de Sebo y otros cuentos,Maupassant,Centro editor de América Latina,Biblioteca Básica Universal,1926,,,
3393,1,Bola de sebo y otros cuentos,Maupassant,CEAL,Biblioteca básica universal,1926,,,
4388,1,Bomarzo (1),"Mujica Láinez, Manuel",Altaya,Novela Histórica - 10,1926,,,
4389,1,Bomarzo (2),"Mujica Láinez, Manuel",Altaya,Novela Histórica - 11,1926,,,
5143,2,Bonsai,"Nöstlinger, Christine",Norma,Zona Libre,2012,Lit. Juvenil,,
5337,1,Borges en Sur (1931-1980),"Borges, Jorge Luis",Sudamericana,Borges Obras Completas - 20,2011,Lit. Argentina,,
4034,1,Borges y la crítica,"Barrenechea, Ana M. Rest, Jaime y otros",Centro editorial de America Latina,Capítulo,1926,,,
3207,1,Bossuet,Baumannn,Excelsa,Tertuliano - 6,1926,,,
2344,1,"Bouchard, el corsario de la patria","Pigna, Felipe",Planeta,La historieta argentina por Felipe Pigna,1926,,,
5234,1,"Boya, un lugar en el mar","Balan, Bruce",Ediciones B,,1998,Lit. Juvenil,,
2402,1,Brave new world,"Huxley, Aldous",Flamingo,Modern Classic,1926,,,
4683,1,Brevario de Motología clásica,"Köhlmeier, Michael",Edhasa,Los libros de Sísifo,1926,,,
4684,1,Brevario de Motología clásica II,"Köhlmeier, Michael",Edhasa,Los libros de Sísifo,1926,,,
4685,1,Brevario de Motología clásica III,"Köhlmeier, Michael",Edhasa,Los libros de Sísifo,1926,,,
3251,1,Breve antología de cuentos 2,Antología,Sudamericana,Joven Cuento,1926,,,
3252,1,Breve antología de cuentos 3,Antología,Sudamericana,Joven Cuento,1926,,,
3253,1,Breve antología de cuentos policiales,Antología,Sudamericana,Joven Cuento,1926,,,
5583,3,Breve historia contemporánea de la Argentina,"Romero, Luis Alberto",Fondo de cultura económica,Sección Obras de Historia,2006,Historia Argentina,,
5587,1,Breve historia de los Argentinos,"Luna, Félix",Planeta,Espejo de la Argentina,1997,Historia Argentina,,
5612,1,Breve historia del carnaval porteño,Municipalida de la Ciudad de Buenos Aires,Municipalida de la Ciudad de Buenos Aires,Cuaderno de Buenos Aires XLVI,1974,Historia Argentina,,
3878,1,Breve historia del teatro Argentino. IV- La época de oro,Antología,EUdeBA,Serie del siglo y medio - 46,1926,,,
3877,1,Breve historia del teatro Argentino. VIII- La comedia provincial,Antología,EUdeBA,Serie del siglo y medio - 89,1926,,,
2313,1,Brevísima relación de lka destrucción de las Indias,"Las Casas, Bartolome de ",Cronica ,nº27 ,1926,,,
2048,6,Brujas y embrujos,"Ponce, Cristina",Maxbrod,-,1926,,,
1341,1,Buda o la negación del mundo,"Marin, Juan",Espasa-Calpe,Colección Austral,1926,,,
487,1,"Buen dia, camaradas",Ondjaki,Cantaro,Aldea Literaria,2018,,,
745,1,Buenos Aires desde setenta años atrás,"Wilde, José Antonio",Jackson,Grandes escritores Argentinos - 9,1926,,,
5613,1,"Buenos Aires y el agua: Memoria, higiene urbana y vida cotidiana","Gutiérrez, Ramón Arq.",Aguas Argentinas/ Patrimonio histórico,,2001,Historia Argentina,,
