ISBN,Titulo,Autor,Editorial,FechaPublicacion,Edicion,Idioma,Paginas,Descripcion,Categorias,Ejemplares
978-0-117-07048-6,Fámili,"Wolf, Ema",Sudamericana,1926,Primera,Español,0,,,1
978-4-928-21089-5,Fantasmas,"Antología. Compilador Berti, Eduardo",Adriana Hidalgo,1926,Primera,Español,0,,,1
978-4-379-61435-8,Fantasmas de día,"Baquedano, Lucía",SM,1998,Primera,Español,0,,,1
978-1-412-23510-5,Fantasmas de Fear Street. Aléjate de la casa del árbol,"Stine, R. L",Emecé,1926,Primera,Español,0,,,1
978-3-546-58403-6,Fantasmas de Fear Street. Los remedios de la abuela,"Stine, R. L",Emecé,1926,Primera,Español,0,,,1
978-1-383-98083-7,Fantasmas de Fear Street. Me convertí en extraterrestre,"Stine, R. L",Emecé,1926,Primera,Español,0,,,1
978-7-941-20966-2,Fantasmas de Fear Street. Terror en navidad,"Stine, R. L",Emecé,1926,Primera,Español,0,,,1
978-6-856-55406-5,Fantasmas de Fear Street. Yo fui un zombi,"Stine, R. L",Emecé,1926,Primera,Español,0,,,1
978-2-075-25388-8,Fantasmas de medianoche,"Fischel, Emma",Lumen,1926,Primera,Español,0,,,1
978-6-795-04922-6,Fantasmas de Navidad,"Dickens, Charles",Página 12,1926,Primera,Español,0,,,1
978-3-882-12343-2,Fantasville. La venganza de la bruja,"Pike, Christopher",Grupo Zeta,1926,Primera,Español,0,,,1
978-1-379-22861-5,Farenheit 451,"Bradbury, Ray",Debols!llo,1926,Primera,Español,0,,,1
978-7-320-59413-6,Fat cat on a mat and other tales,"Cox, Phil Roxbee",Usborne,2009,Primera,Español,0,,Lit. infantil (rojo),1
978-5-490-44345-2,Fatherland,"Harris, Robert",Atlantida,1992,Primera,Español,0,,Lit. Inglesa ,1
978-5-520-83121-1,Fausto,"Campo, Estanislao del",De la Flor,1926,Primera,Español,0,,,1
978-2-746-29983-2,Fausto : primera parte,"Goethe, Johann Wolfgang Von",Andrés Bello,1926,Primera,Español,0,,,1
978-8-162-12266-2,Fausto y otros poemas selectos,"del Campo, Estanislao",Jackson,1926,Primera,Español,0,,,1
978-1-427-87199-2,Febril Buenos Aires,"Breda, Emilio",Buen Ayre,1926,Primera,Español,0,,,1
978-9-670-53553-1,Federico : antología,"García Lorca, Federico",Colihue,1926,Primera,Español,0,,,1
978-1-969-84600-7,Fedra,"Racine, Jean",Centro editor de América Latina,1926,Primera,Español,0,,,1
978-7-281-62102-5,"Ferdinando, el toro","Leaf, Munro",Lóquez,1926,Primera,Español,0,,,1
978-8-805-46194-3,Ficciones,"Borges, Jorge Luis",Planeta,1926,Primera,Español,0,,,1
978-8-479-34107-7,Ficciones patrias,"Gorriti, Juana Manuela",Clarín,2001,Primera,Español,0,,Lit. Argentina,1
978-4-622-78630-6,Ficciones. El Aleph,"Borges, Jorge Luis",Sudamericana,2011,Primera,Español,0,,Lit. Argentina,1
978-4-586-93020-3,Fiesta de disfraces,"Trigub, Inés",Pequeño editor,1926,Primera,Español,0,,,1
978-6-989-40427-5,Figurita difícil,"Pi, Matías Nicolás",Incucai,1926,Primera,Español,0,,Lit. Infantil (Verde O),1
978-4-351-52909-0,Filotea,"Wolf, Ema",Alfaguara,1926,Primera,Español,0,,,1
978-2-959-69924-5,Finis mundi,"Gallego García, Laura",SM,2010,Primera,Español,0,,,1
978-0-134-29471-1,"Fito, el perro","Rey, Eva",Sigmar,1926,Primera,Español,0,,,1
978-7-272-16916-1,Flash : la trágica experiencia de la droga,"Duchaussois, Charles",Emecé,1926,Primera,Español,0,,,1
978-8-803-67638-7,Flashpoint. Siete secretos,"Millligan, Peter",Dc Comics/ ECC,1926,Primera,Español,0,,,1
978-3-069-46133-3,"Flor de Loto, una princesa diferente","Gattari, Florencia",SM,2014,Primera,Español,0,,Lit. Infantil (naranja),1
978-2-262-78140-8,Flor nueva de romances viejos,Menéndez Pidal,Espasa-Calpe,1926,Primera,Español,0,,,1
978-9-423-73097-8,Flora del Archipiélago Fueguino y Patagonia,"Devereux, Evelyn",El autor,2006,Primera,Español,0,,,1
978-8-355-61970-2,"Flora, la desconocida del espacio","Beaude, Pierre-Marie",Norma,1990,Primera,Español,0,,,1
978-7-922-88822-0,Florencio Sánches : vida y creación,"Imbert, Julio",Schapire,1926,Primera,Español,0,,,1
978-9-511-20014-7,Flores robadas en los jardines de Quilmes,"Asis, Jorge",Planeta,1926,Primera,Español,0,,,1
978-5-187-39467-8,Flotante,"Wiesner, David",Océano,1926,Primera,Español,0,,,1
978-3-268-71008-9,Formación castrense de los hombres de armas de Belgrano,"Luzuriaga, Aníbal Jorge",Instituto Belgraniano central,1980,Primera,Español,0,,Historia Argentina,1
978-2-524-90888-8,Formas,-,[Versus],1926,Primera,Español,0,,,1
978-4-225-45526-5,Formas tempranas de organización obrera: Documento de trabajo N°4,"Grez Toso, Sergio",La Crujia,2003,Primera,Español,0,,Historia Argentina,1
978-5-063-79750-0,Formulario del técnico mecánico,"Preger, Ernst & Reindl, Rudolf",Labor,1926,Primera,Español,0,,,1
978-5-361-55509-3,Fragata Sarmiento,"Bamio, José R.",Secretaria General Naval Armada Argentina,2000,Primera,Español,0,,Historia Argentina,1
978-0-912-01228-5,Francisco Luis Bernardez,"Barufaldi, Rogelio",Cultura Argentina,1926,Primera,Español,0,,,1
978-9-778-30474-9,Frankenstein,"Shelley, Mary",Tinta fresca,1926,Primera,Español,0,,,1
978-9-657-37922-6,Franklin dice una mentira,"Bourgeois, Paulette",Norma,1998,Primera,Español,0,,Lit. Infantil (rojo),1
978-1-527-13966-4,Frasco gitano,"Durini, Ángeles & Aimar, Gustavo",Comunicarte,1926,Primera,Español,0,,,1
978-1-773-56104-2,Frases para una amistad por siempre,-,[dos tintas],1926,Primera,Español,0,,,1
978-0-215-91976-2,Fray Gerundio de Campazas,"de Isla, José Francisco",Zaragoza,1926,Primera,Español,0,,,1
978-4-313-93788-8,Frin,"Pescetti, Luis María",Alfaguara,2013,Primera,Español,0,,,1
978-2-576-81104-4,Frutas de estación 1,-,La estación,1926,Primera,Español,0,,,1
978-4-555-04191-6,Fuente Ovejuna,"Vega, Lope de",Siete dias,1926,Primera,Español,0,,,1
978-5-318-59158-7,Fuenteovejuna,Lope de Vega,Colihue,1926,Primera,Español,0,,,1
978-7-049-50146-0,Fuenteovejuna; El burlador de Sevilla y convidado de piedra; La vida es un sueño,-,Andrés Bello,1926,Primera,Español,0,,,1
978-9-106-98929-7,Fuerza y movimiento,-,Planeta,1926,Primera,Español,0,,,1
978-6-685-39837-3,Fundamentos de biología celular y molecular,"Robertis De,; & Robertis De (h)",El ateneo,1926,Primera,Español,0,,,1
978-0-060-77061-7,Fundamentos de la teoría de los signos,"Morris, Charles",Planeta-Agostini,1994,Primera,Español,0,,Filosofía,1
978-4-654-91597-2,Furia,"Smith, Wilbur",Top Emecé,1926,Primera,Español,0,,,1
978-0-348-29256-5,Gabino el mayoral. Los disfrazados,"García Velloso, Enrique. Pacheco, Carlos Mauricio",Kapelusz,1926,Primera,Español,0,,,1
978-8-202-07768-6,Gabriela Mistral : en verso y prosa : antología,"Mistral, Gabriela",Alfaguara,1926,Primera,Español,0,,,1
978-7-109-16441-3,"Gabriela, clavo y canela","Amado, Jorge",Altaya,1926,Primera,Español,0,,,1
978-0-242-78746-4,Galería de Seres Espantosos,Antología,Alfaguara,2015,Primera,Español,0,,Lit. Infantil (Rosa),1
978-1-613-87805-7,Garfield vuelve a la fama 1,"Davis, Jim",Lumen,1926,Primera,Español,0,,,1
978-2-278-79442-3,Garfield. The truth about cats.,"Davis, Jim",,1926,Primera,Español,0,,,1
