ISBN,Titulo,Autor,Editorial,FechaPublicacion,Edicion,Idioma,Paginas,Descripcion,Categorias,Ejemplares
978-0-752-32169-1,1,"Núñez, Ignacio",Jackson,1926,Primera,Español,0,,,1
978-4-927-43912-9,666,"Wast, Hugo",Hugo Wast,1926,Primera,Español,0,,,1
978-4-343-48896-1,1984,"Orwell, George",Lucemar,1926,Primera,Español,0,,,1
978-6-537-10767-2,... Y vienen gritando ¡Patria!,"Becco, Horacio Jorge. Iturralde, María Delia",Plus Ultra,1926,Primera,Español,0,,,1
978-5-919-34132-1,¡Avanti!. Poemas para fortalecer nuestro espíritu,Almafuerte,Ameghino,1926,Primera,Español,0,,,1
978-6-338-64944-9,¿Qué me está pasando? : las respuestas a algunas de las preguntas más embarazosas del mundo,"Mayle, Peter",Montena,1926,Primera,Español,0,,,1
978-1-100-23916-3,Amor más allá de la muerte : antología de la poesía amorosa de Francisco Quevedo,"Quevedo, Francisco de ",Ameghino,1926,Primera,Español,0,,,1
978-7-680-88546-2,Azul...,Rubén Darío,Zig Zag,1926,Primera,Español,0,,,1
978-7-509-95786-8,El fantasma de Canterville y El crimen de Lord Arturo Saville,"Wilde, Oscar",Anteojito,1926,Primera,Español,0,,,1
978-7-334-53228-5,El médico a palos y Las preciosas ridículas,Moliére,Anteojito,1926,Primera,Español,0,,,1
978-7-659-66462-3,La cola de la sirena y Una viuda difícil,"Nalé Roxlo, Conrado",Anteojito,1926,Primera,Español,0,,,1
978-5-213-50156-8,La lluvia y otros relatos,"Wilde, Eduardo",CEAL,1926,Primera,Español,0,,,1
978-4-945-75332-0,Las florecillas de San Francisco El cántico del sol,Anónimo,Anteojito,1926,Primera,Español,0,,,1
978-8-592-94214-4,Rinoceronte y cortadillo y El licenciado vidriera,"Cervantes Saavedra, Miguel de",Anteojito,1926,Primera,Español,0,,,1
978-7-855-26891-5,??,-,Ministerio de educación,1926,Primera,Español,0,,,1
978-1-302-26604-2,"¡Adelante, la isla!","Gallardo, Sara",Abril,1926,Primera,Español,0,,,1
978-8-336-34394-7,¡Arriba el telón!,"Ferro, Beatriz",Norma,2002,Primera,Español,0,,,1
978-1-812-64869-7,¡Cruz diablo! : Satanás vuelve al ataque,"Coluccio, Félix (comp.)",Colihue,2013,Primera,Español,0,,,1
978-8-834-53557-8,¡Cuidado con el perro!,"Cinetto, Liliana",Santillana,2001,Primera,Español,0,,,1
978-6-742-40189-3,¡Entre todos podemos! Salvar nuestro planeta :  un libro con pestañas,"Brownjohn, Emma",Combel,1926,Primera,Español,0,,,1
978-2-714-63898-4,¡Escondidos!,"Kauffman, Ruth",Cántaro,1926,Primera,Español,0,,,1
978-0-009-41012-3,¡Gérmenes! ¡gérmenes! ¡gérmenes!,"Katz, Bobbi",Scholastic,1926,Primera,Español,0,,,1
978-0-357-92341-2,¡Jettatore! : comedia en tres actos,"Laferrere, Gregorio de",Estrada,1926,Primera,Español,0,,,1
978-9-027-87555-6,¡Jettatore!...,"Laferrere, Gregorio de",Kapelusz,1926,Primera,Español,0,,,1
978-7-143-00395-2,¡Jorge habla!,"King Smith, Dick",SM,1926,Primera,Español,0,,,1
978-6-029-15139-8,¡Judy Moody se vuelve famosa!,"Mc Donald, Megan",Alfaguara,2012,Primera,Español,0,,Lit. Infantil (Naranja),1
978-8-093-69711-6,"¡Ladra, Spike, Ladra!","David, Luke",Grupo zeta,1926,Primera,Español,0,,,1
978-2-044-05156-9,"¡Mami, quiero pis...!",-,[Ser padres hoy],1926,Primera,Español,0,,,1
978-5-744-09644-1,¡Mimosaurio!,"Pez, Alberto",Norma,2007,Primera,Español,0,,Lit. Infantil (Rojo),1
978-8-371-04271-3,¡Niet! : (novela),"Meney, Patrick",Atlántida,1926,Primera,Español,0,,,1
978-9-288-72777-9,¡No soy una mariposa!,"Sevilla, Fabián",Salim,1926,Primera,Español,0,,,1
978-3-187-16140-5,¡Pequeñitos!,"Frattini, Stéphane",Océano,1926,Primera,Español,0,,,1
978-6-291-85377-8,¡Por todos los Dioses...!,"García Domínguez, Ramón",Norma,2004,Primera,Español,0,,,1
978-7-483-63213-3,¡Puedo hacerlo solo!,-,[Atlántida],1926,Primera,Español,0,,,1
978-5-769-95687-4,¡Que sea la Odisea!,"Basch, Adela",Alfaguara,2003,Primera,Español,0,,,1
978-1-302-29669-8,¡Queremos sobrevivir! : animales en peligro,"Gentile, Georgina & Thiel, Inge",Lumen,1926,Primera,Español,0,,,1
978-2-163-73861-7,¡Silencio niños! y otros cuentos,"Wolf, Ema",Norma,1926,Primera,Español,0,,,1
978-2-702-13019-3,¡Socorro! 12 cuentos para caerse de miedo,"Bornemann, Elsa",Alfaguara,1926,Primera,Español,0,,,1
978-6-636-09891-8,¡Solo a mí me pasa!,"Keselman, Gabriela",Edelvives,2008,Primera,Español,0,,,1
978-2-200-09911-4,¡Toro marino al acecho!,-,[Anteojito],1926,Primera,Español,0,,,1
978-6-775-13940-4,¿A dónde está la corona?,"Schujer, Silvia",La Valijita,1926,Primera,Español,0,,,1
978-3-334-97203-8,¿Arde París?,"Lapierre, Dominique & Collins, Larry",Plaza & Janés,1926,Primera,Español,0,,,1
978-4-039-58522-6,¿Cómo es el cocodrilo?,"Novoa, Teresa",Alfaguara Infantil,1926,Primera,Español,0,,,1
978-8-848-51647-1,¿Cuántos pelos tiene un gato? : coplas tradicionales,"Saltzmann, Julia (comp.)",Coquena,1926,Primera,Español,0,,,1
978-4-079-33497-6,¿Dónde está Petronilo?,"Shua, Ana María",Sigmar,1926,Primera,Español,0,,,1
978-3-855-61835-4,¿Nos preocupa el cambio climático? : debemos conocer el problema para encontrar soluciones,"Gentile, Georgina & Thiel, Inge",Fundación Roulet,1926,Primera,Español,0,,,1
978-5-124-50648-5,¿Por qué el mar es salado?,Antología,Orión,1926,Primera,Español,0,,,1
978-6-066-28283-3,¿Por qué es oscura la noche?,"Tahta, Sophy",Lumen,1926,Primera,Español,0,,,1
978-3-611-28468-7,¿QS cómo hacemos para Oír y Ver?,"García, Mariano & Gotlibowski, Leicia",Eudeba,1926,Primera,Español,0,,,1
978-5-716-65386-3,¿QS cómo hacemos para Oler y Degustar?,"García, Mariano & Gotlibowski, Leicia",Eudeba,1926,Primera,Español,0,,,1
978-3-673-02585-3,¿QS qué es la ecología?,"Kogan, Mariela & Cruz, Paula de la",Eudeba,1926,Primera,Español,0,,,1
978-9-394-46847-4,¿QS qué es la Huella ecológica?,"Kogan, Mariela & Cruz, Paula de la",Eudeba,1926,Primera,Español,0,,,1
978-5-997-54345-7,¿Qué es el tiempo?,"Damm, Antje",imaiqué,1926,Primera,Español,0,,,1
978-7-319-77523-2,¿Qué hay debajo de la tierra?,"Mayes, Susan",Lumen,1926,Primera,Español,0,,,1
978-1-175-83540-6,¿Qué hay en el espacio?,"Mayes, Susan",Lumen,1926,Primera,Español,0,,,1
978-1-822-95325-5,¿Qué hora es?,-,Grafalco,1926,Primera,Español,0,,,1
978-2-918-23703-7,¿Qué le pasa al planeta?,"Meredith, Susan",Usborne,1926,Primera,Español,0,,,1
978-2-051-48019-2,¿Qué puedo esperar? : el libro de las preguntas,"Teckentrup, Britta",Libros del zorro rojo,1926,Primera,Español,0,,,1
978-9-831-72714-0,¿Qué son los humedales? : ambiantes acuáticos indispensables para la vida,"Wais de Badgen, Irene",[Fundación conciencia],1926,Primera,Español,0,,,1
978-5-876-00200-6,¿Querés saber como era el Arte en la Prehistoria?,"Fiore, Dánae & Glüzmann, Mariela",Eudeba,1926,Primera,Español,0,,,1
978-4-491-20665-3,¿Querés saber qué es el ADN?,"Bombara, Paula & Bernasconi, Pablo",Eudeba,1926,Primera,Español,0,,,1
978-1-177-78914-1,¿Querés saber qué es el Big Bang?,"Gangui, Alejandro & Bilotti, Viviana",Eudeba,1926,Primera,Español,0,,,1
978-7-790-51614-0,¿Querés saber qué es el universo?,"Gangui, Alejandro & Bilotti, Viviana",Eudeba,1926,Primera,Español,0,,,1
978-0-912-64501-8,¿Querés saber qué es la Arqueología?,"Fiore, Dánae & Glüzmann, Mariela",Eudeba,1926,Primera,Español,0,,,1
978-2-528-18810-1,¿Querés saber qué son las Bacterias y los Virus?,"Fernández, Natalia & Fernández Rolfi, Bana",Eudeba,1926,Primera,Español,0,,,1
978-1-482-05160-5,¿Quién es?,,Ediciones B,1926,Primera,Español,0,,,1
978-9-227-24223-3,¿Quién mató a la madrastra? : (un caso para Fábulo D. Tective),"Sevilla, Fabián",Salim,1926,Primera,Español,0,,,1
978-9-230-70470-4,¿Quién pidió un vaso de agua?,"Accame, Jorge",Sudamericana,1995,Primera,Español,0,,,1
978-8-489-65967-4,¿Quién se come a quién?,"Mizielinska, Aleksandra & Mizielinski, Daniel",Libros del zorro rojo,1926,Primera,Español,0,,,1
978-8-696-47164-9,101 cuentos de animales,Antología,El Gato de hojalata,2016,Primera,Español,0,,Lit. Infantil (rojo),1
978-7-743-37683-8,16 cuentos,,Caja de Ahorro Postal,1926,Primera,Español,0,,,1
978-4-495-48310-4,16 cuentos argentinos,"Domínguez, Mignon (comp.)",Huemul,1926,Primera,Español,0,,,1
978-9-760-18351-2,1820-1829 Los caudillos y el proyecto de Rivadavia,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-8-518-22225-1,"1830-1839 Unitarios, federales y románticos","Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-3-167-19971-8,1840-1849 El apogeo del régimen rosista,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-0-573-03463-3,1850-1859 Buenos Aires enfrenta a la conferación,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-2-492-73464-9,1870-1879 Organización nacional y dominio del territorio,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-0-210-83912-6,1880-1889 El roquismo: orden y progreso,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-8-392-60436-5,1890-1899 Crisis económica e impugnación política radical,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-8-068-02051-2,1900-1909 Entre el optimismo y la inquietud,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-3-229-95493-4,1910-1919 Triunfo radical y conflictos de la democracia,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-8-906-26892-2,1920-1929 Los años dorados de la democracia,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-1-289-99846-2,1930-1939 Entre la crisis y la guerra mundial,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-2-820-61938-9,1940-1949 Surge un nuevo movimiento popular: el peronismo,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-3-515-29352-5,1950-1959 Peronismo y antiperonismo,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-5-201-95867-1,1960-1969 Los militares en el poder,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-8-813-67827-2,1970-1979 Entre la ilusión y el espanto,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-4-722-05882-2,1980-1989 Alfonsín y la vuelta de la democracia,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-6-856-03165-8,1990-1999 Menen y la reforma neoliberal,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-3-917-03755-0,2 cuentos clásicos. Pinocho. Los tres cerditos,,Susaeta,1926,Primera,Español,0,,,1
978-5-452-65610-4,20 Grandes conspiraciones de la historia,"Camacho, Santiago",El Ateneo,1926,Primera,Español,0,,,1
978-1-075-86247-2,"20,000 Leguas de viaje submarino","Verne, Julio",Genios,1926,Primera,Español,0,,,1
978-4-629-45907-4,"20,000 leguas de viaje submarino","Verne, Julio",Letra impresa,1926,Primera,Español,0,,,1
978-3-062-71780-2,200 años de poesía argentina,"Serrano, María de los Ángeles (comp.)",Colihue,1926,Primera,Español,0,,,1
978-8-273-29778-5,20000 leguas de viaje submarino,"Verne, Julio",Clarín,1926,Primera,Español,0,,,1
978-8-598-36936-5,2000-2009 Kirchner: expectativas y frustraciones,"Ed. Alemán, José",Clarín,2010,Primera,Español,0,,Historia Argentina,1
978-3-027-02037-4,25 de Mayo : cuando nacía la Patria,-,Billiken,1926,Primera,Español,0,,,1
978-0-383-65253-9,250 Chistes + trabalenguas y adivinanzas,-,EDG,1926,Primera,Español,0,,,1
978-8-842-26371-5,250 chistes para reírte mejor,-,EDG,1926,Primera,Español,0,,,1
978-0-874-38240-2,26 poetas argentinos (1810-1920),Antología,EUdeBA,1926,Primera,Español,0,,,1
978-2-729-06715-1,30 años de historia política Argentina 1965-1995,"Macchi, Rubén R.",Edicones RR,1995,Primera,Español,0,,Historia Argentina,1
978-9-866-06094-6,34 poemas,"Cernuda, Luis",Mondadori,1926,Primera,Español,0,,,1
978-8-109-94236-0,350 adivinanzas para jugar,"Scheujer, Silvia",Sudamericana,1926,Primera,Español,0,,,1
978-8-143-96552-3,39 Cuentos Argentinos de vanguardia,"Mastrángelo, Carlos (comp.)",Plus Ultra,1926,Primera,Español,0,,,1
978-8-488-03810-4,62 Modelo para armar,"Cortázar, Julio",Sudamericana,1926,Primera,Español,0,,,1
978-8-528-65658-9,7 : siete cuentos registrados,,AZ,1926,Primera,Español,0,,,1
978-5-524-32131-2,76.11 Afiches. Momentos que hicieron historia,-,Jefatura de Gabinete de Ministro,1926,Primera,Español,0,,,1
978-8-418-78627-3,76.11 Afiches. Momentos que hicieron historia. Cuadernillo para el docente,-,Jefatura de Gabinete de Ministro,1926,Primera,Español,0,,,1
978-8-469-05922-7,9 de Julio : los días de la Independencia,-,Billiken,1926,Primera,Español,0,,,1
978-8-807-06464-7,A 30 años del Golpe Militar: La escuela y la memoria,"Ministerio de Educación, Ciencia y Tecnología de la Nación",,1926,Primera,Español,0,,,1
978-2-748-20421-6,A 35 años. Educación y memoria. 24 de marzo...,Ministerio de Educación de la Nación,,1926,Primera,Español,0,,,1
978-6-486-59113-3,A buen fin no hay mal principio. Trabajos de amor perdidos,"Shakespeare, William",Espasa-Calpe,1926,Primera,Español,0,,,1
978-4-290-83109-4,A filmar canguros míos,"Wolf, Ema",Sudamericana,1926,Primera,Español,0,,,1
978-4-483-07073-6,A Frankenstein se le fue la mano,"Sevilla, Fabián",Salim,1926,Primera,Español,0,,,1
978-5-199-93190-8,A la deriva y otros cuentos,"Quiroga, Horacio",Colihue,1926,Primera,Español,0,,,1
978-1-435-29836-1,A los mártires españoles,"Claudel, Paul",Gladium,1926,Primera,Español,0,,,1
978-5-822-66311-4,A nadar con María Inés,"Gambaro, Griselda",Alfaguara,2013,Primera,Español,0,,,1
978-9-279-37234-6,A orillas del río Piedra me senté y lloré,"Coelho, Paulo",Planeta,1926,Primera,Español,0,,,1
978-5-978-19769-3,"A reírse, chicos! 1","Parissi, Julio César",El ateneo,1926,Primera,Español,0,,,1
978-8-904-54326-7,A scandal in Bohemia = escándalo en Bohemia,"Doyle, Arthur Conan",Clarín,1926,Primera,Español,0,,,1
978-9-003-04580-5,A sus plantas rendido un león,"Soriano, Osvaldo",Sudamericana,1926,Primera,Español,0,,,1
978-0-771-01955-5,A tres metros sobre el cielo,"Moccia, Federico",Booket,2014,Primera,Español,0,,,1
978-1-332-55202-3,A ver qué ves 2. Libro de lectura,"Pogorelsky, Melina",Santillana,2014,Primera,Español,0,,,1
978-5-058-59289-9,A volar que el viento dobla,"Drennen, Olga",Salim,2013,Primera,Español,0,,,1
978-1-168-57825-9,A vuestro gusto,"Shakespeare, William",Espasa-Calpe,1926,Primera,Español,0,,,1
978-9-745-49693-4,ABC de los animales,"[Soriano, J. A]",[Florida],1926,Primera,Español,0,,,1
978-4-972-68341-6,ABC's,"[Reynolds, Edith & Reading, M. S.]",[Bendon],1926,Primera,Español,0,,,1
978-7-358-66291-3,Abel Sánchez,"De Unamuno, Miguel",Cantaro,1926,Primera,Español,0,,,1
978-0-141-73473-6,Abran cancha que aquí viene Don Quijote de la Mancha,"Basch, Adela",Colihue (ed. especial para el Ministerio de Educación),2013,Primera,Español,0,,,1
978-3-622-31911-8,Abrazo de oso 3,-,Santillana,1926,Primera,Español,0,,,1
978-9-318-39269-4,Abuelas de Plaza de Mayo. Fotografía de 30 años en lucha,"Madariaga, Abel",Abuelas de Plaza de Mayo,1926,Primera,Español,0,,,1
978-3-190-34540-3,Abuelo peluca,"Fogelström, Karen",SM,1926,Primera,Español,0,,,1
978-9-015-61012-1,Acerca de Roderer,"Martínez, Guillermo",Planeta,1926,Primera,Español,0,,,1
978-7-043-32562-8,Achalay,"Jijena Sanchez, Rafael ",Ed. Buenos Aires,1926,Primera,Español,0,,,1
978-9-814-31071-0,Adán y Eva en el Paraíso,"Montes, Graciela",Gramón,1926,Primera,Español,0,,,1
978-3-563-90048-2,"Adiós, Rapa Nui","Gil López, Olga",del Eclipse,2013,Primera,Español,0,,,1
978-2-531-57574-5,Adivinanzas,-,Imaginador,1926,Primera,Español,0,,,1
978-6-082-36894-8,Adivinanzas o cómo sacarle punta al ingenio,"Silveyra, Carlos",Altea,1926,Primera,Español,0,,,1
978-1-517-75001-5,Adivinazas para jugar y poesía para soñar,"Gianola, Mariel",Plus Ultra,1926,Primera,Español,0,,,1
978-7-332-31608-5,Adolfo Bioy Casares,"Kovacci, Ofelia",Ed. Cultural Argentina,1926,Primera,Español,0,,,1
978-7-391-33069-5,Adriana y el árbol,"Kern, Sergio",A-z,1926,Primera,Español,0,,,1
978-5-286-53656-6,Aerodinámica,-,Planeta,1926,Primera,Español,0,,,1
978-6-417-88306-1,Aeropuerto,"Hailey, Arthur",Emecé,1926,Primera,Español,0,,,1
978-2-723-17164-9,Aeropuerto La Guardia,"De Plas, Pierre",Roca,1926,Primera,Español,0,,,1
978-8-123-59729-4,Aforismos,Hipócrates,Schapire,1926,Primera,Español,0,,,1
978-9-659-20292-8,Agua,"Walpole, Brenda",Sigmar,1926,Primera,Español,0,,,1
978-1-965-48429-6,"Agua agua agua (hasta en la sopa) : un diccionario acuático, húmedo y mojado","Rep, Miguel & Golombek, Diego",Ministerio de Educación,1926,Primera,Español,0,,,1
978-9-617-88162-2,Aguafuertes porteñas,"Arlt, Roberto",Página 12,1926,Primera,Español,0,,,1
978-9-257-29132-4,Aguas abajo,"Wilde, Eduardo",Huemul,1926,Primera,Español,0,,,1
978-6-495-41803-2,Aguas abajo y sus Mejores Cuentos,"Wilde, Eduardo",Jackson,1926,Primera,Español,0,,,1
978-1-295-10721-6,Agudeza y Arte de ingenio,"Gracián, Baltasar",Espasa-Calpe,1926,Primera,Español,0,,,1
978-5-936-47598-6,Agustín y la ventanita y Las letras voladoras,Granata. María,Sigmar,1926,Primera,Español,0,,,1
978-9-779-82330-0,Agustina y cada cosa,"Kovadloff, Santiago",Colihue,1993,Primera,Español,0,,,1
978-0-482-54864-1,Ahora y Siempre,"Roberts, Nora",Harlequin Ibérica,1926,Primera,Español,0,,,1
978-5-727-59235-9,Aire,"Walpole, Brenda",Sigmar,1926,Primera,Español,0,,,1
978-3-636-31824-4,Aire libre,"Walsh, María Elena",Ángel Estrada,1926,Primera,Español,0,,,1
978-7-946-09064-7,Aire Negro,"Fernández Paz, Agustín",Cántaro,2016,Primera,Español,0,,,1
978-9-327-82630-2,Al margen del secreto,"Cella, Hugo",Del Dock,1926,Primera,Español,0,,,1
978-2-027-79071-3,Al otro lado del río. Entre los árboles,"Hemingway, Ernest",Guillermo Kraft,1926,Primera,Español,0,,,1
978-7-935-03788-2,Aladdín,-,Norma,1926,Primera,Español,0,,,1
978-5-740-33650-3,Aladino y la lampara mágica y otros cuentos de Las Mil y una Noche,Anónimo,Centro editor de América Latina,1926,Primera,Español,0,,,1
978-4-508-51918-9,Aladino y la lámpara maravillosa,"Montes, Graciela",Gramón,1926,Primera,Español,0,,,1
978-6-139-68549-3,Álbum de familia,"Steel, Danielle",Plaza & Janés,1926,Primera,Español,0,,,1
978-4-109-02705-2,Alcestis - Las vacantes - El cíclope,Eurípides,Espasa Calpe,1926,Primera,Español,0,,,1
978-1-154-68418-6,Alcón de Drácula,"Di Felici, Pablo",SM,2014,Primera,Español,0,,,1
978-3-900-30346-4,Alejandro Magno,"Renault, Mary",Altaya,1926,Primera,Español,0,,,1
978-4-237-17993-7,Alejandro y el Mundo Griego. 4,-,Clarín,2005,Primera,Español,0,,Historia Universal,1
978-7-197-31647-3,Aléxandros : las arenas de amón,"Manfredi, Valerio Massimo",Grijalbo Mondadori,1926,Primera,Español,0,,,1
978-2-561-30251-9,Alfombra mágica,"Vettier, Adela",Plus Ultra,1926,Primera,Español,0,,,1
978-7-329-59948-4,Alfonsina para jovenes principiantes,"Grau, Silvia",Errepar/ Longseller,1926,Primera,Español,0,,,1
978-5-720-26337-9,Algebra,"Moya, Luis Alberto",El autor,1926,Primera,Español,0,,,1
978-1-793-07430-0,Alguien anda ahí,"Rice, Allan P.",Genios,1926,Primera,Español,0,,,1
978-1-709-61742-3,Alguien está mintiendo,"McManus, Karen M.",Alfaguara,2022,Primera,Español,0,,Lit. Juvenil,1
978-7-510-21501-8,Alguien que dio que hablar : leyenda de Méjico ; El casamiento del lagarto : cuento tradicional de Bolivia ; El alacrán de Fray Gomes : leyenda de Perú ; El cacto enamorado : leyenda diaguita de Argentina,"Ferro, Beatriz",Página 12,1926,Primera,Español,0,,,1
978-1-783-19512-1,Alguien sabe qué hora es?. Comedia infantil en dos actos,"Grisolia, Nela. Vettier, Adela",Plus Ultra,1926,Primera,Español,0,,,1
978-5-228-48530-3,Alguien voló sobre el nido del cuco,"Kesey, Ken",RBA,1926,Primera,Español,0,,,1
978-9-046-97411-7,Algunas consideraciones sobre la literatura hispano - americana,"de Unamuno, Miguel",Espasa-Calpe,1926,Primera,Español,0,,,1
978-1-321-93449-6,Algunas historias de Las mil y una noches : antología de cuentos orientales,-,Eudeba,1926,Primera,Español,0,,,1
978-8-599-80580-0,Algunas notas sobre la generación española del 98,"Abizanda Ballabriga, Manuel",Universidad Nacional del Litoral,1926,Primera,Español,0,,,1
978-1-512-31310-9,Algunos caracteres de la cultura española,"Vossler, Carlos",Espasa-Calpe,1926,Primera,Español,0,,,1
978-1-501-65655-2,Algunos sucesos de la vida y obra del mago Juan Chin Pérez,"Wapner, David",Sudamericana,1926,Primera,Español,0,,,1
978-9-226-21761-4,Alí Babá : y los cuarenta ladrones,-,Cántaro,1926,Primera,Español,0,,,1
978-0-121-94475-9,Alí Babá y los 40 ladrones,"Gaetán, Maura (adap.)",Sigmar,1926,Primera,Español,0,,,1
978-0-072-35550-5,Alicia en el país de las maravillas,"Carroll, Lewis",Pagina 12,2005,Primera,Español,0,,,1
978-8-828-99401-5,Alicia en el país de las maravillas : en historieta...,-,La estación,1926,Primera,Español,0,,,1
978-7-487-99780-1,Allá lejos y hace tiempo,"Hudson, Guillermo Enrique",Anteojito,1926,Primera,Español,0,,,1
978-2-703-63160-6,Almas muertas,"Gógol, Nicolai",Hyspamerica,1926,Primera,Español,0,,,1
978-5-691-58713-9,Alrededor de la jaula,"Conti, Haroldo",Emecé,1926,Primera,Español,0,,,1
978-8-573-85388-9,Altas Mundial Clarín del estudiante: América del sur I. Tomo 5,-,Clarín,1926,Primera,Español,0,,,1
978-4-924-57405-2,Altas Mundial Clarín del estudiante: América del sur II. Tomo 6,-,Clarín,1926,Primera,Español,0,,,1
978-9-607-58656-8,"Altas Mundial Clarín del estudiante: el mundo: físico. América del norte, central y caribe. Primera parte.Tomo 3",-,Clarín,1926,Primera,Español,0,,,1
978-3-000-42131-0,"Altas Mundial Clarín del estudiante: el mundo: físico. América del norte, central y caribe. Segunda parte. Tomo 4",-,Clarín,1926,Primera,Español,0,,,1
978-9-739-72370-1,Altas Mundial Clarín del estudiante: el mundo: Físico. Tomo 1,-,Clarín,1926,Primera,Español,0,,,1
978-8-505-58031-9,Altas Mundial Clarín del estudiante: el mundo: Político,-,Clarín,1926,Primera,Español,0,,,1
978-8-925-33016-7,Altas Mundial Clarín del estudiante: Europa I,-,Clarín,1926,Primera,Español,0,,,1
978-3-553-00075-8,Altas Mundial Clarín del estudiante: Europa II,-,Clarín,1926,Primera,Español,0,,,1
978-5-174-60276-2,Altas Mundial Clarín del estudiante: Europa III,-,Clarín,1926,Primera,Español,0,,,1
978-0-701-09817-9,Alzamiento y revolución. Libro II,"Hugh, Thomas",Hyspamérica. Urbión,1980,Primera,Español,0,,Lit. Española ,1
978-7-144-26077-4,"Amadísimo patrón. Eugenia Castro, la manceba de Rosas","Bilbao, Susana",Sudamericana,1926,Primera,Español,0,,,1
978-2-908-05436-1,Amalia,"Mármol, José",Espasa-Calpe,1926,Primera,Español,0,,,1
978-2-280-90660-9,Amalia. Tomo II,Marmol. José,Kapelusz,1926,Primera,Español,0,,,1
978-5-944-68392-2,América Colonial y Monarquías Absolutas. 11,-,Clarín,2005,Primera,Español,0,,Historia Universal,1
978-0-566-17218-2,América en el siglo XIX,-,Genios,1926,Primera,Español,0,,,1
978-1-400-95853-5,América en el siglo XVIII,-,Genios,1926,Primera,Español,0,,,1
978-8-096-09878-1,América mágica. Los hombres y los meses,"Arciniegas, German",Sudamericana,1926,Primera,Español,0,,,1
978-0-995-99666-3,American Psycho,"Ellis, Bret Easton",Ediciones B,1926,Primera,Español,0,,,1
978-4-445-20434-6,Ami. El niño de las estrellas,"Barrios, Enrique",Errepar,1995,Primera,Español,0,,,1
978-8-651-79155-3,Amigo se escribe con H,"Heredia, María Fernanda",Norma,1926,Primera,Español,0,,,1
978-0-975-72006-6,Amigos de los bichos y las plantas : cómo funciona un ecosistema,"Cabal, Graciela Beatriz",Libros del quirquincho,1926,Primera,Español,0,,,1
978-9-216-50635-3,Amigos robots,"Asimov, Isaac",Vicens Vives,2013,Primera,Español,0,,,1
978-2-584-03834-1,"Amistad, divino tesoro",-,Orión,1926,Primera,Español,0,,,1
978-8-040-95711-9,Amor. El diario de Daniel,Quoist. Michel,Herder,1926,Primera,Español,0,,,1
978-9-688-56209-3,Amores imposibles y otros encantamientos,"Clemente, Horacio",Colihue,1926,Primera,Español,0,,,1
978-4-658-52156-8,Amorosos fantasmas,"Taibo II, Paco Ignacio",Colihue,1926,Primera,Español,0,,,1
978-4-159-38712-0,Amy Foster. The Lagoon / La laguna,"Conrad, Joseph",Clarín,1926,Primera,Español,0,,,1
978-1-756-64749-7,Ana y el rey,"Hand, Elizabeth",Mondadori,1926,Primera,Español,0,,,1
978-7-526-87211-3,"Ana, la bondadosa","Vera, Paula",Sigmar,1926,Primera,Español,0,,,1
978-1-522-45150-1,Anabásis y otros poemas,"Perse, Saint-John",Hyspamerica,1926,Primera,Español,0,,,1
978-2-032-70173-5,Análisis de los Estados Unidos,"Marías, Julián",Guadarrama,1926,Primera,Español,0,,,1
978-1-187-28091-1,Análisis económico Input- output,"Leontief, W.",Orbis/ Hypamerica,1983,Primera,Español,0,,Economía,1
978-3-695-56607-5,Análisis matemático I : para estudiantes de ingeniería,"García Venturini. Alejandro E.; & Scardigli, Mónica",Ediciones corporativas,1926,Primera,Español,0,,,1
978-7-346-91455-0,Anaxalimma,"Verano, Raúl Ignacio",De los cuatro vientos,1926,Primera,Español,0,,,1
978-9-581-26268-7,Andanzas de Jabutí la tortuguita,"Ábalos, Jorge W.",Plus Ultra,1926,Primera,Español,0,,,1
978-0-504-69517-9,Andanzas de Juancito el zorro,"Romera, Pirucha & Martínez, Paulina",Plus Ultra,1926,Primera,Español,0,,,1
